Uniprot,Cluster Number,Start Pos,End Pos
Q8NCN4,0,527,557
Q9P281,0,1491,1521
P09038,0,0,30
Q9NYD6,0,0,30
Q5VV63,0,0,30
O14514,0,1293,1323
Q8IXT5,0,82,112
Q96CX2,0,0,30
Q8IWV2,0,682,712
Q9BXP2,0,835,865
Q12860,0,689,719
Q12872,0,0,30
Q15428,0,0,30
P58549,0,50,80
O60304,0,449,480
Q07864,0,0,31
Q96Q04,0,484,515
Q9BQ89,0,234,265
Q32P44,0,0,31
Q8IUH8,0,214,245
Q9UHI5,0,0,31
P10301,0,0,31
Q7Z7M0,0,2814,2845
Q9P2E7,0,679,710
Q9H2S1,0,89,120
Q9Y6L7,0,19,51
A2VEC9,0,2788,2820
Q9H8M5,0,119,151
A6NI15,0,103,135
Q15477,0,217,249
Q16637,0,0,32
Q9UNE7,0,0,32
Q14549,0,0,32
Q6NUI1,0,0,32
Q96KT8,0,88,120
Q69YZ2,0,80,112
Q9Y2J4,0,518,550
Q96CN9,0,610,642
Q9NXD2,0,188,220
Q9H0R6,0,144,176
O95400,0,174,206
Q08828,0,0,32
Q86Y22,0,0,32
Q6ZN04,0,0,32
P14616,0,1264,1297
Q04671,0,30,63
Q9H089,0,0,33
Q8IZN3,0,0,33
Q9BYZ6,0,303,336
Q9Y4H2,0,507,540
Q9H444,0,0,33
Q99543,0,421,454
Q8N350,0,127,161
Q96NL8,0,22,56
P41143,0,338,372
Q66K64,0,0,34
Q05215,0,379,414
Q5TA77,0,60,95
P10275,0,444,479
P17658,0,0,35
O95153,0,1822,1857
P31276,0,25,60
P36956,0,1046,1081
Q8WW01,0,0,35
Q96G74,0,144,179
O15372,0,0,35
Q00653,0,332,367
O95503,0,181,216
P53990,0,199,235
Q8N9B8,0,0,36
O43526,0,836,872
Q96T58,0,2770,2806
Q2PPJ7,0,338,374
Q13136,0,0,36
Q9NT99,0,677,713
Q9H330,0,0,36
P23378,0,11,47
O75150,0,0,36
Q5T5B0,0,56,92
Q53HC5,0,0,36
Q9P0K9,0,76,112
Q96QR8,0,0,36
P48444,0,153,189
Q9P2N5,0,937,973
Q12792,0,313,350
Q96K21,0,267,304
Q8IU99,0,309,346
Q96NX9,0,0,37
Q86Z20,0,0,37
Q5T5N4,0,137,174
Q9UQ05,0,133,170
A7E2V4,0,1430,1467
Q08J23,0,0,37
Q96IS3,0,0,37
O15266,0,0,37
Q9NUQ3,0,0,37
Q14008,0,225,262
Q9NQ38,0,674,711
Q6PCT2,0,0,38
O43559,0,420,458
Q5T5A8,0,56,94
Q86YV0,0,0,38
Q14315,0,2178,2216
O15417,0,687,725
P31275,0,93,131
Q5JUK3,0,653,691
P49790,0,0,38
Q9H6S0,0,0,38
Q15751,0,1395,1434
Q86WR6,0,0,39
P55198,0,1054,1093
Q9Y4B5,0,664,703
Q9P1Z0,0,249,288
P09630,0,196,235
Q96K80,0,0,39
P09651,0,179,218
Q16584,0,0,39
Q8TF21,0,757,796
Q7L8J4,0,353,393
Q8TDC3,0,647,687
Q5TIE3,0,581,621
Q5T754,0,78,118
Q96A84,0,401,441
Q53ET0,0,564,604
Q9NQ03,0,115,155
O14649,0,253,293
Q96RU3,0,278,319
Q96FT7,0,606,647
Q7L591,0,0,41
Q92841,0,77,118
Q8WXS5,0,329,370
Q495M9,0,329,370
Q96S21,0,240,281
Q53EP0,0,224,265
P23490,0,271,312
Q6IQ22,0,0,41
Q8WV44,0,500,541
Q5T011,0,693,734
O00411,0,16,57
Q8TE12,0,245,286
H7C1W4,0,0,41
O14979,0,308,349
P49790,0,433,474
Q9P281,0,709,751
Q5JUK3,0,1039,1081
Q96BY6,0,140,182
O15529,0,304,346
O14843,0,304,346
O43823,0,98,140
Q6ZSY5,0,202,244
Q9BSG5,0,187,229
Q99729,0,227,269
Q96L92,0,0,42
P49715,0,84,127
Q5C9Z4,0,0,43
Q9Y6R1,0,389,432
Q9H8G2,0,61,104
P38432,0,401,444
Q9UJ99,0,701,745
Q9NVP1,0,626,670
P61296,0,74,118
P40424,0,0,44
Q6NUN9,0,467,511
Q00653,0,396,440
A8K0Z3,0,369,413
Q5T0D9,0,0,44
Q13342,0,177,221
Q13151,0,170,214
Q9NWM3,0,0,44
Q9ULH4,0,381,426
P20264,0,23,68
P0CG42,0,98,143
P48431,0,0,45
O00267,0,664,709
Q9H7E2,0,144,189
O60241,0,1345,1390
O14782,0,247,292
P15391,0,510,556
Q01433,0,53,99
O15083,0,0,46
Q86V25,0,0,46
Q14106,0,186,232
Q7L0Q8,0,0,47
P0CG43,0,100,147
Q9H7S9,0,0,47
P48066,0,0,47
K7EM74,0,141,188
Q8WXG6,0,896,943
Q8WXS5,0,261,308
Q99469,0,208,255
Q6PKC3,0,0,47
Q9NW82,0,535,582
Q07955,0,89,136
Q07352,0,65,113
Q8NAF0,0,0,48
Q8N2C7,0,129,177
Q9UP38,0,0,48
Q96HA4,0,332,380
Q9BSW2,0,0,48
Q15735,0,958,1006
P50502,0,254,302
Q9NW75,0,479,528
Q9NPC1,0,340,389
Q03721,0,156,205
O95096,0,84,133
Q96T37,0,253,302
Q9P217,0,0,49
O43390,0,408,457
Q8N9Y4,0,112,161
Q86XR2,0,0,49
Q03052,0,68,117
Q12946,0,0,49
P52746,0,1045,1094
Q92686,0,29,78
Q10471,0,27,76
Q12870,0,19,68
P22681,0,0,50
P50895,0,578,628
P13647,0,0,50
P10588,0,0,50
Q04637,0,666,716
Q7Z4H9,0,0,50
Q5T752,0,64,114
Q14643,0,1750,1800
Q13111,0,179,229
Q9ULQ0,0,0,50
Q9P260,0,128,179
O00400,0,0,52
Q9NS37,0,166,218
P22670,0,363,415
Q13201,0,151,203
O60506,0,402,454
P56645,0,0,52
Q8WUB2,0,0,52
O75145,0,188,240
O95343,0,29,81
Q8WVR3,0,88,140
Q5TF58,0,79,131
P47871,0,425,477
Q9BX66,0,1101,1153
Q9UJV8,0,0,52
Q9NRF2,0,703,756
H3BRN7,0,39,92
P16144,0,1395,1448
A7MBM2,0,1348,1401
Q96QS3,0,43,96
Q8N2Y8,0,867,920
Q06587,0,304,357
O15015,0,1776,1829
Q9Y5N1,0,285,338
Q9Y4W6,0,73,126
Q6A1A2,0,0,54
Q8IW93,0,298,352
Q9H6E5,0,636,690
Q9Y4Z0,0,85,139
Q8WYQ9,0,0,54
Q8N196,0,244,298
Q9UHB9,0,0,54
P56945,0,605,660
A6NJ46,0,191,246
B2RXF0,0,183,238
Q2M1V0,0,35,90
Q09019,0,520,575
Q15270,0,310,365
Q9Y2I9,0,91,146
P60323,0,118,173
O15105,0,0,55
Q6T4P5,0,662,718
Q15834,0,146,202
Q01860,0,0,56
Q9Y4X0,0,0,56
Q9ULE4,0,753,809
Q9NRC8,0,344,400
O43593,0,497,553
Q5GH73,0,0,56
J3KQ70,0,215,271
Q9C086,0,215,271
Q8N2C7,0,729,785
P10276,0,405,462
O60292,0,1581,1638
P84550,0,407,464
Q5JVS0,0,356,413
Q3SY00,0,47,104
Q8NCA9,0,266,323
Q15768,0,249,306
Q8NCF5,0,0,57
H3BPF8,0,394,452
O43711,0,0,58
P15880,0,0,58
Q9ULM3,0,786,844
Q7Z4P5,0,294,352
P25490,0,153,211
Q6PID8,0,0,58
A4GXA9,0,0,59
O15530,0,23,82
P81605,0,22,82
A6NN06,0,0,60
Q9BQ61,0,0,60
Q6ZQQ2,0,1288,1348
Q8IXZ3,0,430,490
Q13319,0,0,61
Q86TL0,0,0,61
P50548,0,487,548
Q8N7Y1,0,0,62
Q9P0J7,0,138,200
Q9H4Q3,0,645,707
Q8NHW3,0,166,228
Q2TAM9,0,0,63
Q96AY4,0,2003,2067
Q9C0K0,0,732,796
P35637,0,368,432
Q9P1D8,0,0,64
Q03252,0,376,440
Q8NFI4,0,236,300
Q9Y566,0,0,64
Q00577,0,0,64
Q9H6R0,0,0,65
Q12791,0,0,65
O00213,0,46,111
Q9H461,0,629,694
K7ENP7,0,0,65
Q70CQ4,0,0,65
P29376,0,234,299
Q9H4S2,0,199,264
Q07820,0,22,88
P49842,0,19,85
Q9H165,0,675,742
Q96KS0,0,102,169
Q99726,0,0,67
Q5TH69,0,1942,2009
Q3MII6,0,465,532
Q12948,0,405,472
Q6NXT6,0,0,67
Q8N8J7,0,0,68
Q9UIS9,0,387,455
Q9UI32,0,0,68
Q9ULD5,0,596,664
P54253,0,0,68
Q9HCE5,0,388,456
Q16763,0,154,222
Q9BZ72,0,604,672
P11161,0,407,476
P28702,0,267,336
Q12906,0,592,661
Q9H1J1,0,0,69
Q5SXM2,0,493,563
O15209,0,564,634
O15014,0,1300,1370
Q6PKG0,0,1025,1096
Q9UMN6,0,0,71
Q9NRX1,0,0,71
Q9P1D2,0,0,71
Q96F45,0,0,72
P55789,0,0,72
Q8WVV9,0,0,72
O00221,0,0,72
Q96JN8,0,0,73
Q9C075,0,0,73
Q6UB35,0,0,74
Q8TD19,0,737,811
Q53EL6,0,54,129
F5H4A9,0,105,181
Q9BXB5,0,0,76
Q9Y6G9,0,447,523
Q9C0J9,0,224,300
Q86V81,0,181,257
Q8N205,0,272,349
Q9UPU5,0,42,119
P25100,0,0,77
Q9UIW0,0,0,78
Q9UGN5,0,0,78
Q8N1G0,0,1049,1127
Q9Y4D2,0,825,904
Q96E09,0,0,79
A1L390,0,1055,1134
Q8N2Y8,0,196,276
Q6GQQ9,0,640,720
Q92841,0,550,630
P78563,0,0,81
Q96T17,0,0,81
Q9P1Z0,0,777,859
Q9P218,0,1202,1284
O75360,0,0,82
O60356,0,0,82
Q6ZV29,0,314,396
Q13595,0,200,282
Q02575,0,0,82
Q9NTI7,0,56,139
Q8TE49,0,530,613
P33176,0,880,963
A4D2B8,0,134,217
Q7Z794,0,495,578
Q76N89,0,857,940
O75410,0,19,103
K7EIZ4,0,0,84
Q8NC51,0,324,408
P31275,0,137,222
Q587J7,0,1092,1177
Q9UMN6,0,879,964
Q8WUU5,0,33,118
Q9Y597,0,729,815
O60610,0,0,86
Q9NUG4,0,209,295
Q9UPR0,0,0,87
Q13133,0,0,88
O76061,0,214,302
Q5TA76,0,0,89
P35637,0,437,526
O60741,0,0,89
Q5TGY3,0,1219,1309
Q86V81,0,0,90
Q9HCR9,0,36,126
P98168,0,0,90
Q9H2U1,0,0,90
Q8WXX7,0,0,90
Q8NEZ4,0,826,917
B1AL88,0,65,156
Q01844,0,440,531
Q7Z3Z3,0,0,92
Q9BYE3,0,0,92
Q8NEP3,0,0,93
Q15050,0,271,365
Q96EX2,0,56,151
Q12837,0,0,95
P18065,0,132,227
